customer_id,order_id,order_date,sale_amount
CUST-015,5013,2025-08-19,284.75
CUST-014,5040,2026-04-24,596.53
CUST-007,5010,2025-05-24,181.87
CUST-008,5047,31/13/2025,120.0
CUST-001,5032,2026-03-12,513.9
CUST-010,5029,2026-02-01,551.16
CUST-008,5014,2025-10-02,402.66
CUST-004,5048,2026-01-28,-150.0
CUST-005,5045,2025-12-20,
CUST-012,5007,2025-04-02,639.46
CUST-004,5037,2026-04-14,466.92
CUST-004,5024,2026-01-15,91.26
CUST-006,5038,2026-04-14,141.54
CUST-003,5019,2025-12-18,128.63
CUST-011,5005,2025-03-09,99.14
CUST-005,5026,2026-01-25,440.42
CUST-002,5017,2025-12-04,536.31
CUST-010,5016,2025-10-21,332.51
CUST-013,5031,2026-03-05,92.18
CUST-005,5012,2025-08-08,407.73
CUST-002,5008,2025-05-12,146.47
CUST-016,5041,2026-05-16,59.4
CUST-009,5028,2026-01-28,532.8
CUST-002,5035,2026-03-28,504.99
CUST-002,5046,2025-13-45,330.0
CUST-002,5006,2025-03-29,582.34
CUST-002,5006,2025-03-29,582.34
CUST-006,5002,2025-02-05,110.4
CUST-005,5036,2026-04-13,350.96
CUST-001,5003,2025-02-16,102.3
CUST-001,5023,2026-01-05,541.2
CUST-002,5034,2026-03-27,289.06
CUST-007,5018,2025-12-11,170.71
CUST-008,5027,2026-01-26,106.75
CUST-004,5015,2025-10-10,652.42
CUST-016,5030,2026-03-04,802.85
CUST-002,5021,2025-12-26,82.65
CUST-003,5033,2026-03-16,360.26
CUST-001,5039,2026-04-23,100.08
CUST-003,5044,2026-03-05,
,5042,2026-01-12,210.5
CUST-003,5011,2025-07-13,305.29
CUST-006,5020,2025-12-19,792.62
CUST-006,5022,2026-01-03,426.0
CUST-006,5001,2025-01-28,641.14
CUST-011,5009,2025-05-12,852.43
CUST-001,5004,2025-03-01,379.55
CUST-001,5025,2026-01-23,224.64
,5043,2025-10-03,95.0
