date,income,expense
05-01-2025,42000,31000
19-01-2025,15500,8200
03-02-2025,39800,29500
17-02-2025,18200,9100
02-03-2025,45100,33200
15-03-2025,,10500
28-03-2025,12300,7600
04-04-2025,48700,35800
18-04-2025,16900,
06-05-2025,51200,37100
20-05-2025,14400,8800
02-06-2025,53800,39400
14-06-2025,53800,39400
29-06-2025,17600,9600
05-07-2025,49300,36000
19-07-2025,15800,-4200
03-08-2025,55600,40200
17-08-2025,19100,10400
02-09-2025,58200,42500
16-09-2025,16700,9300
2025-09-31,17200,9800
04-10-2025,61500,44800
19-10-2025,20300,11200
02-11-2025,63800,46500
16-11-2025,18400,10100
03-12-2025,67200,48900
18-12-2025,21500,12300
04-01-2026,64500,47200
19-01-2026,19800,10900
03-02-2026,66900,48700
17-02-2026,20100,11000
02-03-2026,69300,50400
16-03-2026,21200,11700
01-04-2026,71800,52100
15-04-2026,22400,12300
03-05-2026,74100,53900
