order_id,order_date,due_date,delivery_date,start_date,completion_date,status
7043,2025-11-17,2025-11-25,2025-11-27,2025-11-18,2025-11-23,delivered
7040,2026-03-23,2026-03-28,2026-04-03,2026-03-24,2026-03-30,delivered
7026,2026-04-09,2026-04-19,,2026-04-09,,pending
7004,2025-12-06,2025-12-14,,2025-12-08,,cancelled
7023,2025-11-08,2025-11-15,,2025-11-09,,pending
7027,2025-11-22,2025-11-27,2025-11-30,2025-11-23,2025-11-29,delivered
7007,2026-01-12,2026-01-17,2026-01-20,2026-01-12,2026-01-16,delivered
7005,2026-04-24,2026-05-02,2026-04-21,2026-04-24,2026-04-26,delivered
7029,2026-05-04,2026-05-12,,2026-05-05,,pending
7025,2025-11-27,2025-12-03,2025-12-02,2025-11-28,2025-11-30,delivered
7006,2025-12-30,2026-01-05,2026-01-07,2025-12-30,2025-12-28,delivered
7001,2026-02-27,2026-03-06,,2026-02-27,2026-03-04,delivered
7030,2025-12-14,2025-12-20,,2025-12-14,,cancelled
7003,2026-03-08,2026-03-13,2026-02-30,2026-03-08,2026-03-12,delivered
7024,2026-01-28,2026-02-05,2026-02-04,2026-01-30,2026-02-02,delivered
7044,2025-12-22,2025-12-29,,2025-12-23,,pending
7032,2026-01-29,2026-02-04,2026-02-06,2026-01-31,2026-02-05,delivered
7020,2025-12-13,2025-12-20,,2025-12-13,,Pending
7011,2025-11-18,2025-11-24,2025-11-21,2025-11-19,2025-11-21,delivered
7041,2026-03-04,2026-03-09,2026-03-08,2026-03-06,2026-03-07,delivered
7019,2026-03-16,2026-03-23,2026-03-21,2026-03-18,2026-03-19,delivered
7021,2026-01-24,2026-01-30,,2026-01-26,, PENDING 
7033,2026-05-05,2026-05-10,2026-05-14,2026-05-07,2026-05-13,delivered
7002,2025-12-26,,2026-01-02,2025-12-26,2026-01-01,delivered
7012,2025-11-14,2025-11-19,2025-11-20,2025-11-14,2025-11-19,delivered
7014,2025-12-09,2025-12-16,2025-12-17,2025-12-10,2025-12-15,delivered
7034,2025-12-20,2025-12-26,2025-12-24,2025-12-20,2025-12-23,delivered
7038,2026-03-11,2026-03-16,2026-03-18,2026-03-12,2026-03-14,delivered
7008,2026-03-25,2026-04-01,,2026-03-25,,cancelled
7035,2026-01-01,2026-01-11,2026-01-09,2026-01-02,2026-01-05,delivered
7022,2025-12-29,2026-01-04,,2025-12-31,,pending
7018,2026-03-16,2026-03-23,,2026-03-16,,cancelled
7016,2025-12-07,2025-12-12,2025-12-14,2025-12-09,2025-12-12,delivered
7013,2026-02-02,2026-02-12,2026-02-04,2026-02-02,2026-02-03,delivered
7008,2026-03-25,2026-04-01,,2026-03-25,,cancelled
7042,2025-11-11,2025-11-16,2025-11-21,2025-11-13,2025-11-17,delivered
7031,2026-04-17,2026-04-23,2026-04-27,2026-04-19,2026-04-24,delivered
7028,2025-12-16,2025-12-24,,2025-12-18,,pending
7037,2026-03-13,2026-03-21,2026-03-21,2026-03-15,2026-03-17,delivered
7009,2026-04-17,2026-04-22,2026-04-28,2026-04-18,2026-04-24,delivered
7010,2026-02-11,2026-02-19,2026-02-18,2026-02-11,2026-02-15,delivered
7017,2026-04-27,2026-05-03,,2026-04-29,,cancelled
7039,2025-12-09,2025-12-15,,2025-12-09,,pending
7015,2025-11-30,2025-12-08,2025-12-08,2025-12-01,2025-12-05,delivered
7036,2025-12-04,2025-12-09,2025-12-12,2025-12-06,2025-12-09,delivered
