order_id,order_date,product,region,quantity,unit_price,revenue,cost
1083,2025-08-31,USB-C Hub,North,5,132.74,663.7,470.06
1100,2025-11-05,Laptop Stand,West,4,74.05,296.2,198.87
1193,2025-08-28,Mechanical Keyboard,South,13,241.89,3144.57,2405.71
1189,2025-01-21,Webcam HD,West,1,148.26,148.26,108.69
1121,2025-07-14,Bluetooth Speaker,North,8,213.93,1711.44,1019.09
1105,2025-06-22,Monitor 24in,East,13,238.19,3096.47,2029.4
1181,2025-05-11,Wireless Mouse,West,15,77.61,1164.15,799.36
1086,2025-02-07,Desk Lamp,West,15,160.4,2406.0,1440.25
1118,2025-05-19,Noise Cancelling Headset,Central,13,125.01,1625.13,1070.79
1122,2025-04-19,Bluetooth Speaker,East,6,75.68,454.08,317.42
1038,2025-02-01,Monitor 24in,East,13,216.52,2814.76,1723.09
1145,2025-03-18,Webcam HD,South,2,22.43,44.86,33.56
1206,2025-02-01,Monitor 24in,East,4,242.31,969.24,763.04
1073,2025-10-25,Webcam HD,North,2,152.37,304.74,193.94
1014,2025-01-17,Bluetooth Speaker,West,5,24.02,120.1,93.47
1061,2025-03-08,Webcam HD,South,12,114.92,1379.04,1001.76
1139,2025-10-29,Monitor 24in,East,10,158.29,1582.9,1111.84
1190,2025-02-16,Webcam HD,East,12,108.55,1302.6,781.82
1162,2025-05-05,Desk Lamp,Central,3,100.83,302.49,236.08
1088,2025-01-03,Mechanical Keyboard,West,4,50.56,202.24,159.67
1153,2025-02-23,USB-C Hub,East,7,175.87,1231.09,765.81
1209,2025-10-11,Laptop Stand,Central,4,204.76,819.04,
1046,2025-10-24,Office Chair,North,12,83.89,1006.68,566.29
1047,2025-09-02,Office Chair,Central,3,21.76,65.28,44.19
1077,2025-06-19,Noise Cancelling Headset,East,11,213.22,2345.42,1712.01
1170,2025-10-30,Bluetooth Speaker,North,14,212.5,2975.0,1710.41
1025,2025-10-04,Office Chair,North,10,86.45,864.5,479.68
1095,2025-02-11,USB-C Hub,South,4,100.69,402.76,236.9
1128,2025-08-21,Webcam HD,East,5,63.79,318.95,232.94
1034,2025-02-06,Office Chair,South,5,169.89,849.45,512.69
1217,2025-09-03,Monitor 24in,West,11,34.13,375.43,273.35
1003,2025-11-29,Office Chair,West,4,116.71,466.84,289.23
1173,2025-02-11,Bluetooth Speaker,Central,7,238.9,1672.3,1181.81
1010,2025-11-22,Bluetooth Speaker,South,6,93.98,563.88,404.61
1040,31/13/2025,Mechanical Keyboard,West,13,216.45,2813.85,1934.75
1012,2025-03-25,Desk Lamp,West,5,247.46,1237.3,878.48
1136,2025-12-18,Wireless Mouse,South,3,204.3,612.9,482.52
1163,2025-09-18,USB-C Hub,North,5,194.99,974.95,744.47
1006,2025-11-06,Webcam HD,North,12,119.18,1430.16,831.22
1146,2025-11-01,Noise Cancelling Headset,East,8,38.09,304.72,220.06
1208,2025-01-26,Bluetooth Speaker,South,3,198.45,595.35,357.98
1102,2025-03-07,Noise Cancelling Headset,Central,1,227.48,227.48,158.77
1064,2025-08-09,USB-C Hub,North,5,96.25,481.25,376.95
1183,2025-12-20,Webcam HD,West,14,81.11,1135.54,908.25
1178,2025-05-06,Office Chair,West,10,173.0,1730.0,1029.37
1067,2025-03-25,USB-C Hub,West,1,51.41,51.41,40.16
1070,2025-06-06,Laptop Stand,South,1,167.73,167.73,108.96
1004,2025-01-04,USB-C Hub,West,6,75.24,451.44,272.59
1031,2025-09-22,Desk Lamp,North,4,62.38,249.52,158.33
1164,2025-06-24,Office Chair,East,14,8.62,120.68,88.28
1108,2025-01-16,Laptop Stand,South,14,12.93,181.02,106.46
1058,2025-10-11,USB-C Hub,East,5,154.37,771.85,562.99
1195,2025-05-16,Office Chair,North,8,97.2,777.6,573.29
1041,2025-01-26,Office Chair,North,2,232.18,464.36,353.92
1135,2025-09-02,Mechanical Keyboard,North,7,127.0,889.0,617.19
1175,2025-05-28,Laptop Stand,North,7,244.76,1713.32,1268.02
1015,2025-10-18,Bluetooth Speaker,,11,128.81,1416.91,1092.68
1155,2025-03-01,Monitor 24in,Central,14,247.12,3459.68,2471.65
1051,2025-12-09,Bluetooth Speaker,South,5,103.78,518.9,372.53
1034,2025-02-06,Office Chair,South,5,169.89,849.45,512.69
1161,2025-05-30,Office Chair,East,7,210.0,1470.0,1168.74
1137,2025-02-13,Laptop Stand,North,9,193.0,1737.0,1218.64
1074,2025-06-10,Monitor 24in,Central,9,35.99,323.91,250.99
1023,2025-05-15,Office Chair,South,9,228.86,2059.74,1581.12
1132,2025-12-29,Office Chair,,5,19.01,95.05,53.57
1115,2025-12-05,Bluetooth Speaker,North,9,164.71,1482.39,
1126,2025-07-27,Laptop Stand,East,11,148.74,1636.14,1093.46
1182,2025-02-07,Desk Lamp,East,10,80.4,804.0,635.57
1082,2025-12-02,Bluetooth Speaker,West,8,115.0,920.0,555.15
1017,2025-10-03,Webcam HD,Central,7,225.27,1576.89,1024.74
1030,2025-04-13,Webcam HD,West,11,165.27,1817.97,1199.0
1158,2025-05-28,Desk Lamp,West,2,14.99,29.98,21.21
1134,2025-08-29,Desk Lamp,West,6,52.62,315.72,177.7
1154,2025-07-25,Office Chair,North,8,29.31,234.48,143.76
1197,2025-12-12,Laptop Stand,West,1,157.93,157.93,124.1
1089,2025-09-23,Desk Lamp,North,9,68.31,614.79,468.52
1072,2025-10-02,Bluetooth Speaker,North,2,220.24,440.48,271.03
1042,2025-03-27,Monitor 24in,West,8,59.73,477.84,310.72
1210,2025-03-17,Noise Cancelling Headset,North,5,215.73,1078.65,632.27
1071,2025-05-23,Mechanical Keyboard,East,6,163.24,979.44,636.56
1130,2025-09-05,Webcam HD,Central,13,134.96,1754.48,1089.09
1013,2025-10-13,Laptop Stand,East,14,193.93,2715.02,1531.23
1103,2025-12-06,Wireless Mouse,North,11,111.72,1228.92,942.23
1218,2025-08-16,Mechanical Keyboard,North,6,155.21,931.26,527.48
1111,2025-02-28,USB-C Hub,East,2,148.04,296.08,231.6
1084,2025-06-21,Mechanical Keyboard,South,11,83.12,914.32,687.24
1005,2025-06-22,Mechanical Keyboard,North,7,31.41,219.87,167.51
1101,2025-07-19,Bluetooth Speaker,West,12,47.94,575.28,383.62
1125,2025-12-31,Desk Lamp,West,13,12.17,158.21,98.65
1205,2025-07-05,Mechanical Keyboard,East,9,226.21,2035.89,1447.94
1214,2025-09-27,Mechanical Keyboard,North,8,116.48,931.84,596.85
1198,2025-06-17,Noise Cancelling Headset,South,11,23.3,256.3,193.75
1133,2025-05-30,USB-C Hub,West,2,219.2,438.4,304.04
1078,2025-06-03,Office Chair,East,11,106.83,-1175.13,764.54
1024,2025-06-02,Office Chair,Central,4,44.99,179.96,133.28
1105,2025-06-22,Monitor 24in,East,13,238.19,3096.47,2029.4
1143,2025-12-26,Desk Lamp,North,11,64.49,709.39,437.08
1008,2025-07-05,Noise Cancelling Headset,South,12,24.83,297.96,213.14
1053,2025-08-23,Noise Cancelling Headset,Central,2,25.73,51.46,31.05
1027,2025-02-10,Mechanical Keyboard,West,14,24.75,346.5,256.46
1016,2025-11-26,Desk Lamp,South,5,41.79,208.95,153.84
1199,2025-12-25,Webcam HD,West,2,41.83,83.66,65.8
1109,2025-03-06,Desk Lamp,North,10,237.36,2373.6,1581.43
1032,2025-10-29,Office Chair,South,10,61.29,612.9,347.97
1043,2025-01-31,USB-C Hub,West,1,246.44,246.44,151.88
1192,2025-05-12,Desk Lamp,East,12,218.64,2623.68,1970.54
1057,2025-12-06,Mechanical Keyboard,South,5,35.93,179.65,103.61
1187,2025-05-27,Laptop Stand,Central,13,93.26,1212.38,859.76
1216,2025-12-04,Office Chair,East,8,163.69,1309.52,730.43
1092,2025-10-08,Desk Lamp,South,12,216.48,2597.76,1721.06
1022,2025-02-27,Webcam HD,West,3,117.8,353.4,278.64
1204,2025-01-17,Bluetooth Speaker,South,8,115.62,924.96,563.33
1188,2025-11-14,Webcam HD,South,11,31.51,346.61,245.01
1180,2025-09-12,Noise Cancelling Headset,,4,119.6,478.4,293.5
1160,2025-04-26,Mechanical Keyboard,West,2,164.75,329.5,193.91
1087,2025-12-23,Monitor 24in,West,7,67.04,469.28,335.07
1177,2025-01-24,Bluetooth Speaker,North,5,94.75,473.75,311.57
1063,2025-03-18,Office Chair,North,14,97.35,1362.9,937.85
1156,2025-10-05,Desk Lamp,West,1,53.39,53.39,34.19
1168,2025-07-30,Wireless Mouse,East,12,122.46,1469.52,1143.81
1203,2025-12-02,Mechanical Keyboard,West,10,106.76,1067.6,841.14
1114,2025-11-04,Mechanical Keyboard,Central,13,17.94,233.22,159.33
1045,2025-10-12,Desk Lamp,South,4,79.8,319.2,252.86
1035,2025-03-09,Noise Cancelling Headset,Central,8,66.81,534.48,357.16
1065,2025-01-21,Bluetooth Speaker,South,11,68.39,752.29,433.09
1050,2025-08-03,Noise Cancelling Headset,Central,9,84.56,761.04,468.19
1140,2025-02-20,Laptop Stand,South,5,167.82,839.1,494.45
1098,2025-12-23,Wireless Mouse,Central,7,123.43,864.01,678.84
1120,2025-05-23,Desk Lamp,South,13,120.46,1565.98,1100.23
1019,2025-02-26,USB-C Hub,South,13,172.68,2244.84,1569.37
1180,2025-09-12,Noise Cancelling Headset,,4,119.6,478.4,293.5
1044,2025-08-21,Webcam HD,West,12,239.67,2876.04,2297.54
1068,2025-07-30,Laptop Stand,East,3,198.54,595.62,343.69
1076,2025-10-03,Laptop Stand,East,7,24.93,174.51,124.96
1112,2025-10-22,Monitor 24in,West,12,56.0,672.0,469.07
1011,2025-12-26,Mechanical Keyboard,Central,11,49.42,543.62,398.08
1055,2025-05-26,USB-C Hub,West,14,139.46,1952.44,1221.5
1151,2025-09-23,Desk Lamp,East,3,249.26,747.78,492.77
1009,2025-05-29,Mechanical Keyboard,South,14,32.44,454.16,281.35
1029,2025-11-07,Monitor 24in,South,15,138.51,2077.65,1521.84
1039,31/13/2025,Office Chair,West,3,110.1,330.3,204.67
1194,2025-12-12,Monitor 24in,Central,6,29.85,179.1,116.17
1056,2025-12-01,Office Chair,North,11,205.74,2263.14,1414.11
1211,2025-03-08,Office Chair,East,13,50.23,652.99,467.06
1219,2025-05-21,Noise Cancelling Headset,Central,9,180.34,1623.06,1047.24
1091,2025-06-12,Desk Lamp,Central,14,182.06,2548.84,1723.51
1059,2025-04-15,Webcam HD,Central,8,68.77,550.16,427.5
1196,2025-05-15,Noise Cancelling Headset,West,14,162.53,2275.42,1462.8
1036,2025-07-28,Laptop Stand,North,2,167.47,334.94,213.88
1201,2025-07-18,Desk Lamp,East,11,237.75,2615.25,1893.76
1052,2025-06-03,Desk Lamp,East,15,189.95,2849.25,1618.76
1207,2025-08-21,Mechanical Keyboard,South,11,162.76,1790.36,1419.35
1048,2025-04-06,Mechanical Keyboard,Central,2,171.4,342.8,208.7
1141,2025-03-30,Office Chair,North,3,8.65,25.95,17.2
1096,2025-04-20,Mechanical Keyboard,West,7,88.07,616.49,410.88
1075,2025-04-08,Webcam HD,North,12,113.53,1362.36,
1186,2025-10-17,Wireless Mouse,Central,12,128.21,1538.52,1193.95
1159,2025-05-03,USB-C Hub,East,9,11.31,101.79,66.37
1080,2025-12-13,USB-C Hub,Central,10,80.83,808.3,555.29
1144,2025-11-17,Noise Cancelling Headset,South,7,35.78,250.46,151.83
1099,2025-06-02,Monitor 24in,West,9,188.9,1700.1,1167.17
1124,2025-07-28,Desk Lamp,Central,13,66.16,860.08,575.41
1174,2025-09-07,Office Chair,North,10,24.56,245.6,173.83
1117,2025-08-24,USB-C Hub,West,3,185.58,556.74,440.59
1085,2025-03-17,Wireless Mouse,North,4,246.11,984.44,691.88
1001,2025-02-22,Office Chair,North,10,110.11,1101.1,613.81
1113,2025-11-18,Laptop Stand,North,12,194.94,2339.28,1783.87
1185,2025-12-25,Webcam HD,North,14,167.29,2342.06,1448.85
1215,31/13/2025,Mechanical Keyboard,West,9,61.62,-554.58,390.3
1165,2025-10-28,Noise Cancelling Headset,West,14,43.96,615.44,421.36
1116,2025-08-04,Desk Lamp,North,7,240.51,1683.57,1193.48
1018,2025-04-23,USB-C Hub,Central,8,30.0,240.0,134.83
1091,2025-06-12,Desk Lamp,Central,14,182.06,2548.84,1723.51
1054,2025-05-16,USB-C Hub,East,15,24.65,369.75,225.94
1212,2025-01-14,USB-C Hub,North,6,199.18,14340.96,8740.56
1028,31/13/2025,USB-C Hub,West,9,47.96,431.64,294.34
1127,2025-09-29,Bluetooth Speaker,West,12,141.19,1694.28,1080.87
1213,2025-06-15,Wireless Mouse,South,5,20.68,103.4,76.04
1049,2025-03-03,Noise Cancelling Headset,South,10,151.87,1518.7,1070.45
1094,2025-02-09,Webcam HD,South,5,89.28,446.4,345.18
1020,2025-07-17,Monitor 24in,Central,8,136.05,1088.4,862.85
1037,2025-07-30,Desk Lamp,North,11,166.14,1827.54,1300.38
1176,2025-12-27,Mechanical Keyboard,West,3,175.95,527.85,409.54
1079,2025-06-01,Office Chair,South,4,109.75,439.0,344.65
1123,2025-05-22,Office Chair,North,9,237.43,2136.87,1221.01
1033,2025-11-20,Wireless Mouse,South,2,227.11,454.22,347.44
1171,2025-08-22,Wireless Mouse,South,7,218.77,18376.68,14563.32
1007,2025-07-13,Mechanical Keyboard,Central,5,208.72,1043.6,735.35
1062,2025-10-15,Wireless Mouse,North,2,236.7,473.4,342.15
1088,2025-01-03,Mechanical Keyboard,West,4,50.56,202.24,159.67
1102,2025-03-07,Noise Cancelling Headset,Central,1,227.48,227.48,158.77
1157,2025-09-13,Desk Lamp,North,4,72.63,290.52,169.3
1097,2025-02-01,Laptop Stand,West,7,226.97,1588.79,1105.83
1110,2025-05-12,Bluetooth Speaker,South,10,154.95,1549.5,1141.95
1104,2025-04-04,Wireless Mouse,East,7,87.22,610.54,405.2
1069,2025-01-20,Desk Lamp,South,4,205.61,822.44,546.98
1090,2025-08-22,USB-C Hub,West,11,136.53,1501.83,1035.86
1179,2025-03-31,Mechanical Keyboard,Central,14,100.58,1408.12,1014.95
1129,2025-06-11,Mechanical Keyboard,Central,13,175.02,2275.26,1360.34
1060,2025-01-27,Mechanical Keyboard,West,14,74.96,1049.44,578.12
1191,2025-10-04,Bluetooth Speaker,Central,9,229.06,-2061.54,1561.86
1002,2025-04-22,Laptop Stand,Central,10,14.42,144.2,86.48
1066,2025-10-14,Monitor 24in,Central,12,45.4,544.8,426.29
1150,2025-12-11,Webcam HD,Central,1,192.67,192.67,114.41
1081,2025-01-01,Webcam HD,East,4,112.03,448.12,311.44
1026,2025-07-05,Webcam HD,South,1,66.29,66.29,45.86
1142,2025-11-01,Desk Lamp,East,1,64.02,64.02,
1167,2025-06-14,Laptop Stand,South,10,100.68,1006.8,769.2
1093,2025-05-07,Webcam HD,,8,159.67,1277.36,790.24
1172,2025-02-08,Desk Lamp,East,6,158.83,952.98,
1148,2025-11-03,Wireless Mouse,,12,86.0,1032.0,632.19
1166,2025-06-26,Bluetooth Speaker,Central,13,139.51,1813.63,1203.95
1119,2025-10-31,Webcam HD,East,14,67.41,943.74,739.57
1149,2025-02-16,Laptop Stand,Central,10,238.09,2380.9,1904.47
1138,2025-11-13,Laptop Stand,Central,7,117.02,819.14,541.19
1169,2025-07-15,Monitor 24in,South,8,241.49,1931.92,1123.53
1107,2025-06-29,Laptop Stand,North,13,239.66,3115.58,1744.93
1202,2025-10-04,Monitor 24in,Central,12,183.84,2206.08,1701.67
1147,2025-12-25,Monitor 24in,East,9,138.68,1248.12,823.06
1021,2025-01-06,Mechanical Keyboard,Central,13,72.57,943.41,670.05
1000,2025-11-24,Mechanical Keyboard,North,12,74.56,894.72,542.02
1200,2025-06-05,Desk Lamp,North,2,64.82,129.64,88.72
1184,2025-09-05,Mechanical Keyboard,South,7,146.41,1024.87,710.96
1131,2025-02-21,Laptop Stand,East,4,95.33,381.32,238.54
1152,2025-09-09,Mechanical Keyboard,West,6,106.82,640.92,403.95
1106,2025-02-11,Desk Lamp,North,12,138.54,1662.48,1329.95
